user_id,timestamp_unix,morph_id,morph_switch_counter,source_url,destination_url,morph_assignment,context,outcome_var,timestamp_Clickstream,time_lead,time_diff,price,bounce,total_clicks,condition,condition_reassigned,outcome_addTo,Cumul_outcome_addTo,Tlength,IND,lastT,trolley_dummy,est_state_2ST,prob_state1_2ST,prob_state2_2ST,est_state_2SNT,prob_state1_2SNT,prob_state2_2SNT
07Oykl5klpddd26Ps2n4P03rUC3t3R,1619604065,1,1,https://xlarge.rsm.nl/phone-shop/#/,https://xlarge.rsm.nl/phone-shop/#/products,NA,{linkLocation:top-navigation},0,2021-04-28T10:01:05Z,2021-04-28T10:01:05Z,0.049999952,399,0,5,1,1,0,0,1,1,0,0,1,1,0,1,1,0
07Oykl5klpddd26Ps2n4P03rUC3t3R,1619604066,1,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-28T10:01:05Z,2021-04-28T10:01:42Z,36.95600009,399,0,5,1,1,0,0,2,1,0,0,1,0.78,0.22,1,0.81,0.19
07Oykl5klpddd26Ps2n4P03rUC3t3R,1619604102,1,3,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-trolley,NA,{trolley:{id:11;fullName:iPhone SE 64GB Mobile Phone - Black;price:399};linkLocation:product-overview},0,2021-04-28T10:01:42Z,2021-04-28T10:01:52Z,9.851999998,399,0,5,1,1,0,0,3,1,0,0,1,0.63,0.37,1,0.68,0.32
07Oykl5klpddd26Ps2n4P03rUC3t3R,1619604112,1,4,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/trolley,NA,{trolley:{id:11;fullName:iPhone SE 64GB Mobile Phone - Black;price:399};linkLocation:top-navigation},0,2021-04-28T10:01:52Z,2021-04-28T10:01:58Z,6.504999876,399,0,5,1,1,0,0,4,1,1,1,2,0.02,0.98,2,0.02,0.98
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687320,1,1,https://xlarge.rsm.nl/phone-shop/#/,https://xlarge.rsm.nl/phone-shop/#/products,NA,{linkLocation:home-top-cta},0,2021-04-29T09:08:39Z,2021-04-29T09:08:39Z,0.007999897,319,0,26,1,1,0,0,1,2,0,0,1,1,0,1,1,0
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687320,1,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-29T09:08:39Z,2021-04-29T09:09:41Z,61.89100003,319,0,26,1,1,0,0,2,2,0,0,1,0.79,0.21,1,0.81,0.19
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687382,1,3,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/reviews/6,NA,{linkLocation:products-overview-grid},0,2021-04-29T09:09:41Z,2021-04-29T09:10:01Z,20.0250001,319,0,26,1,1,0,0,3,2,0,0,1,0.63,0.37,1,0.69,0.31
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687402,1,4,https://xlarge.rsm.nl/phone-shop/#/reviews/6,https://xlarge.rsm.nl/phone-shop/#/products,NA,null,0,2021-04-29T09:10:01Z,2021-04-29T09:10:01Z,0.011999846,319,0,26,1,1,0,0,4,2,0,0,1,0.51,0.49,1,0.61,0.39
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687402,1,5,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-29T09:10:01Z,2021-04-29T09:10:16Z,15.26900005,319,0,26,1,1,0,0,5,2,0,0,2,0.42,0.58,1,0.55,0.45
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687417,1,6,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/reviews/11,NA,{linkLocation:products-overview-grid},0,2021-04-29T09:10:16Z,2021-04-29T09:11:58Z,101.7079999,319,0,26,1,1,0,0,6,2,0,0,2,0.35,0.65,1,0.51,0.49
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687519,1,7,https://xlarge.rsm.nl/phone-shop/#/reviews/11,https://xlarge.rsm.nl/phone-shop/#/products,Random morph assigned to this token (Morph re-calculated),{linkLocation:top-navigation},0,2021-04-29T09:11:58Z,2021-04-29T09:11:58Z,0.009000063,319,0,26,1,1,0,0,7,2,0,0,2,0.29,0.71,2,0.49,0.51
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687519,1,8,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-29T09:11:58Z,2021-04-29T09:12:04Z,5.904000044,319,0,26,1,1,0,0,8,2,0,0,2,0.24,0.76,2,0.46,0.54
0CeYJizcvbpvGKweHhrsYHVnqN7o1r6c,1619687524,1,9,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/reviews/11,NA,null,0,2021-04-29T09:12:04Z,2021-04-29T09:12:19Z,14.6099999,319,0,26,1,1,0,0,9,2,0,0,2,0.2,0.8,2,0.45,0.55
