user_id,timestamp_unix,morph_id,source_url,destination_url,morph_assignment,context,outcome_var,timestamp_Clickstream,condition,condition_reassigned
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687323,1,https://xlarge.rsm.nl/phone-shop/#/,https://xlarge.rsm.nl/phone-shop/#/suggestions/social-media,NA,{linkLocation:home-suggestions-link},0,2021-04-29T09:08:43Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687323,1,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-29T09:08:43Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687337,1,https://xlarge.rsm.nl/phone-shop/#/suggestions/social-media,https://xlarge.rsm.nl/phone-shop/#/products,NA,{linkLocation:top-navigation},0,2021-04-29T09:08:57Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687390,1,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-comparison,NA,{comparison:[{id:11;fullName:iPhone SE 64GB Mobile Phone - Black;price:399}];linkLocation:product-overview},0,2021-04-29T09:09:49Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687391,1,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/remove-from-comparison,NA,{comparison:[];linkLocation:product-overview},0,2021-04-29T09:09:51Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687397,1,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-comparison,NA,{comparison:[{id:10;fullName:Sony Xperia 10 II Mobile Phone - Black;price:319.95}];linkLocation:product-overview},0,2021-04-29T09:09:57Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687398,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-comparison,Random morph assigned to this token (Morph re-calculated),{comparison:[{id:10;fullName:Sony Xperia 10 II Mobile Phone - Black;price:319.95};{id:11;fullName:iPhone SE 64GB Mobile Phone - Black;price:399}];linkLocation:product-overview},0,2021-04-29T09:09:58Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687399,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/remove-from-comparison,NA,{comparison:[{id:10;fullName:Sony Xperia 10 II Mobile Phone - Black;price:319.95}];linkLocation:product-overview},0,2021-04-29T09:09:59Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687400,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/remove-from-comparison,NA,{comparison:[];linkLocation:product-overview},0,2021-04-29T09:10:00Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687402,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/reviews/10,NA,{linkLocation:products-overview-grid},0,2021-04-29T09:10:02Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687557,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-29T09:12:36Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687560,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/comparison,NA,{comparison:[];linkLocation:top-navigation},0,2021-04-29T09:12:39Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687563,2,https://xlarge.rsm.nl/phone-shop/#/comparison,https://xlarge.rsm.nl/phone-shop/#/products,NA,{linkLocation:top-navigation},0,2021-04-29T09:12:43Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687563,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-29T09:12:43Z,2,2
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687565,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-comparison,NA,{comparison:[{id:11;fullName:iPhone SE 64GB Mobile Phone - Black;price:399}];linkLocation:product-overview},0,2021-04-29T09:12:45Z,2,2
