user_id,timestamp_unix,morph_id,morph_switch_counter,source_url,destination_url,morph_assignment,context,outcome_var,timestamp_Clickstream,time_lead,time_diff,price,bounce,total_clicks,condition,condition_reassigned,outcome_addTo,Cumul_outcome_addTo,Tlength,IND,lastT,trolley_dummy,est_state_2ST,prob_state1_2ST,prob_state2_2ST
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687323,1,1,https://xlarge.rsm.nl/phone-shop/#/,https://xlarge.rsm.nl/phone-shop/#/suggestions/social-media,NA,{linkLocation:home-suggestions-link},0,2021-04-29T09:08:43Z,2021-04-29T09:08:43Z,0.019000053,0,1,19,2,2,0,0,1,1,0,0,1,1,0
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687323,1,2,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/products/filter,NA,[],0,2021-04-29T09:08:43Z,2021-04-29T09:08:57Z,14.11199999,0,1,19,2,2,0,0,2,1,0,0,1,0.81,0.19
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687337,1,3,https://xlarge.rsm.nl/phone-shop/#/suggestions/social-media,https://xlarge.rsm.nl/phone-shop/#/products,NA,{linkLocation:top-navigation},0,2021-04-29T09:08:57Z,2021-04-29T09:09:49Z,52.49900007,0,1,19,2,2,0,0,3,1,0,0,1,0.68,0.32
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687390,1,4,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-comparison,NA,{comparison:[{id:11;fullName:iPhone SE 64GB Mobile Phone - Black;price:399}];linkLocation:product-overview},0,2021-04-29T09:09:49Z,2021-04-29T09:09:51Z,1.429999828,0,1,19,2,2,1,1,4,1,0,0,1,0.64,0.36
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687391,1,5,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/remove-from-comparison,NA,{comparison:[];linkLocation:product-overview},0,2021-04-29T09:09:51Z,2021-04-29T09:09:57Z,5.726000071,0,1,19,2,2,0,1,5,1,0,0,1,0.6,0.4
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687397,1,6,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-comparison,NA,{comparison:[{id:10;fullName:Sony Xperia 10 II Mobile Phone - Black;price:319.95}];linkLocation:product-overview},0,2021-04-29T09:09:57Z,2021-04-29T09:09:58Z,1.217000008,0,1,19,2,2,1,1,6,1,0,0,1,0.57,0.43
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687398,2,7,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/add-to-comparison,Random morph assigned to this token (Morph re-calculated),{comparison:[{id:10;fullName:Sony Xperia 10 II Mobile Phone - Black;price:319.95};{id:11;fullName:iPhone SE 64GB Mobile Phone - Black;price:399}];linkLocation:product-overview},0,2021-04-29T09:09:58Z,2021-04-29T09:09:59Z,0.996000051,0,1,19,2,2,1,1,7,1,0,0,1,0.55,0.45
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687399,2,8,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/remove-from-comparison,NA,{comparison:[{id:10;fullName:Sony Xperia 10 II Mobile Phone - Black;price:319.95}];linkLocation:product-overview},0,2021-04-29T09:09:59Z,2021-04-29T09:10:00Z,0.687999964,0,1,19,2,2,0,1,8,1,0,0,1,0.53,0.47
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687400,2,9,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/remove-from-comparison,NA,{comparison:[];linkLocation:product-overview},0,2021-04-29T09:10:00Z,2021-04-29T09:10:02Z,2.381999969,0,1,19,2,2,0,1,9,1,0,0,1,0.51,0.49
000quYO4SE0ZMTRlMBCZ5xgnKnGOwf7,1619687402,2,10,https://xlarge.rsm.nl/phone-shop/#/products,https://xlarge.rsm.nl/phone-shop/#/reviews/10,NA,{linkLocation:products-overview-grid},0,2021-04-29T09:10:02Z,2021-04-29T09:12:19Z,137.175,0,1,19,2,2,0,1,10,1,0,0,2,0.49,0.51
